X,Y,OBJECTID_1,Station,Station_Ty,County,Region,Division,Country,Lifesaving,Lifesavi_1,Lat_Dec_De,Long_Dec_D,URL
-0.936680627999976,50.7816242160001,86,Hayling Island,ILB,Hampshire,South East,Channel,GBR,South East,47,50.78171158,-0.93676799,https://rnli.org/find-my-nearest/lifeboat-stations/hayling-island-lifeboat-station
-1.52909999999997,50.7539,87,Lymington,ILB,Hampshire,South East,Central,GBR,South East,16,50.75381088,-1.52921903,https://rnli.org/find-my-nearest/lifeboat-stations/lymington-lifeboat-station
-1.02981071199997,50.7952261990001,88,Portsmouth,ILB,Hampshire,South East,Channel,GBR,South East,47,50.795372,-1.029863,https://rnli.org/find-my-nearest/lifeboat-stations/portsmouth-lifeboat-station
-1.50043999999997,50.7061620000001,89,Yarmouth (IOW),ALB,Isle Of Wight,South East,Channel,GBR,South East,15,50.70615387,-1.50047505,https://rnli.org/find-my-nearest/lifeboat-stations/yarmouth-lifeboat-station
-1.74206494799995,50.7243192130001,90,Mudeford,ILB,Dorset,South East,Channel,GBR,South East,16,50.72428513,-1.74226606,https://rnli.org/find-my-nearest/lifeboat-stations/mudeford-lifeboat-station
-1.99197195899995,50.712713819,91,Poole,ALB/ILB,Dorset,South East,Channel,GBR,South East,16,50.71268845,-1.99197495,https://rnli.org/find-my-nearest/lifeboat-stations/poole-lifeboat-station
-1.94670825799994,50.607232981,92,Swanage,ALB/ILB,Dorset,South East,Channel,GBR,South East,16,50.60729218,-1.94666004,https://rnli.org/find-my-nearest/lifeboat-stations/swanage-lifeboat-station
-2.20010557399996,49.7239920220001,93,Alderney,ALB,Alderney,South West,Channel,GBR,South West,17,49.72409821,-2.20012999,https://rnli.org/find-my-nearest/lifeboat-stations/alderney-lifeboat-station
-2.03026249399994,49.2179599250001,94,St Catherine,ILB,Jersey,South West,Channel,GBR,South West,17,49.21793365,-2.03017211,https://rnli.org/find-my-nearest/lifeboat-stations/st-catherine-lifeboat-station
-2.11279999999994,49.1805000000001,95,St Helier,ALB/ILB,Jersey,South West,Channel,GBR,South West,17,49.18067169,-2.11303401,https://rnli.org/find-my-nearest/lifeboat-stations/st-helier-lifeboat-station
-2.53341453399997,49.4527424870001,96,St Peter Port,ALB/ILB,Guernsey,South West,Channel,GBR,South West,17,49.45796585,-2.52986193,https://rnli.org/find-my-nearest/lifeboat-stations/st-peter-port-lifeboat-station
-3.39901483199998,50.610981629,97,Exmouth,ALB/ILB,Devon,South West,Channel,GBR,South West,18,50.61104584,-3.39897609,https://rnli.org/find-my-nearest/lifeboat-stations/exmouth-lifeboat-station
-2.93899999999996,50.7204,98,Lyme Regis,ILB,Dorset,South West,Central,GBR,South West,18,50.72043991,-2.93901706,https://rnli.org/find-my-nearest/lifeboat-stations/lyme-regis-lifeboat-station
-3.49790168999994,50.542167055,99,Teignmouth,ILB,Devon,South West,Channel,GBR,South West,18,50.54216385,-3.4978261,https://rnli.org/find-my-nearest/lifeboat-stations/teignmouth-lifeboat-station
-3.50552148899993,50.3991837930001,100,Torbay,ALB/ILB,Devon,South West,Channel,GBR,South West,19,50.39915466,-3.50548601,https://rnli.org/find-my-nearest/lifeboat-stations/torbay-lifeboat-station
